orgUnitPath,orgUnitId,name,parentOrgUnitId
/,id:01i93fcd4hx4xfd,mg.k12.mo.us,
/BoardMembers,id:01i93fcd2ort6pm,BoardMembers,id:01i93fcd4hx4xfd
/Chromebooks,id:01i93fcd0i7bk0u,Chromebooks,id:01i93fcd4hx4xfd
/Chromebooks/Admin,id:01i93fcd3ahl3m7,Admin,id:01i93fcd0i7bk0u
/Chromebooks/ALC,id:01i93fcd2nk8pyx,ALC,id:01i93fcd0i7bk0u
/Chromebooks/ALC/ALCCB1,id:01i93fcd12pj06q,ALCCB1,id:01i93fcd2nk8pyx
/Chromebooks/ALC/ALCCB1/Research Chromebooks,id:03ph8a2z0jf5tdy,Research Chromebooks,id:01i93fcd12pj06q
/Chromebooks/ES,id:01i93fcd23219t1,ES,id:01i93fcd0i7bk0u
/Chromebooks/ES/ES1,id:01i93fcd404cetk,ES1,id:01i93fcd23219t1
/Chromebooks/ES/ESCB1,id:01i93fcd46ggqlq,ESCB1,id:01i93fcd23219t1
/Chromebooks/ES/ESCB1/ESCB1_OLD,id:03ph8a2z137noxs,ESCB1_OLD,id:01i93fcd46ggqlq
/Chromebooks/ES/ESCB10,id:01i93fcd2db4zvz,ESCB10,id:01i93fcd23219t1
/Chromebooks/ES/ESCB10/ESCB10_OLD,id:03ph8a2z1b1f5dl,ESCB10_OLD,id:01i93fcd2db4zvz
/Chromebooks/ES/ESCB11,id:01i93fcd0sgfa3s,ESCB11,id:01i93fcd23219t1
/Chromebooks/ES/ESCB11/ESCB11_OLD,id:03ph8a2z0p5y8xz,ESCB11_OLD,id:01i93fcd0sgfa3s
/Chromebooks/ES/ESCB13,id:01i93fcd21ugt2c,ESCB13,id:01i93fcd23219t1
/Chromebooks/ES/ESCB13/ESCB13_OLD,id:03ph8a2z21zbssv,ESCB13_OLD,id:01i93fcd21ugt2c
/Chromebooks/ES/ESCB14,id:01i93fcd2piqf4b,ESCB14,id:01i93fcd23219t1
/Chromebooks/ES/ESCB14/ESCB14_OLD,id:03ph8a2z0j920fx,ESCB14_OLD,id:01i93fcd2piqf4b
/Chromebooks/ES/ESCB15,id:01i93fcd3wya8xh,ESCB15,id:01i93fcd23219t1
/Chromebooks/ES/ESCB15/ESCB15_OLD,id:03ph8a2z27lymdy,ESCB15_OLD,id:01i93fcd3wya8xh
/Chromebooks/ES/ESCB16,id:01i93fcd2xtcg1v,ESCB16,id:01i93fcd23219t1
/Chromebooks/ES/ESCB16/ESCB16_OLD,id:03ph8a2z37de72f,ESCB16_OLD,id:01i93fcd2xtcg1v
/Chromebooks/ES/ESCB17,id:01i93fcd4adg4wi,ESCB17,id:01i93fcd23219t1
/Chromebooks/ES/ESCB17/ESCB17_OLD,id:03ph8a2z14dtopi,ESCB17_OLD,id:01i93fcd4adg4wi
/Chromebooks/ES/ESCB18,id:01i93fcd0iy8sfj,ESCB18,id:01i93fcd23219t1
/Chromebooks/ES/ESCB18/ESCB18_OLD,id:03ph8a2z20dxmtu,ESCB18_OLD,id:01i93fcd0iy8sfj
/Chromebooks/ES/ESCB19,id:01i93fcd14o0pc4,ESCB19,id:01i93fcd23219t1
/Chromebooks/ES/ESCB19/ESCB19_OLD,id:03ph8a2z2q1cp90,ESCB19_OLD,id:01i93fcd14o0pc4
/Chromebooks/ES/ESCB2,id:01i93fcd382g64t,ESCB2,id:01i93fcd23219t1
/Chromebooks/ES/ESCB2/ESCB2_OLD,id:03ph8a2z2n7s8n6,ESCB2_OLD,id:01i93fcd382g64t
/Chromebooks/ES/ESCB20,id:01i93fcd0r8utd3,ESCB20,id:01i93fcd23219t1
/Chromebooks/ES/ESCB20/ESCB20_OLD,id:03ph8a2z3xyx2rr,ESCB20_OLD,id:01i93fcd0r8utd3
/Chromebooks/ES/ESCB21,id:01i93fcd1cymq9o,ESCB21,id:01i93fcd23219t1
/Chromebooks/ES/ESCB21/ESCB21_OLD,id:03ph8a2z2anlbo7,ESCB21_OLD,id:01i93fcd1cymq9o
/Chromebooks/ES/ESCB22,id:01i93fcd4io25u2,ESCB22,id:01i93fcd23219t1
/Chromebooks/ES/ESCB22/ESCB22_OLD,id:03ph8a2z0wctolv,ESCB22_OLD,id:01i93fcd4io25u2
/Chromebooks/ES/ESCB23,id:01i93fcd2c3kj5a,ESCB23,id:01i93fcd23219t1
/Chromebooks/ES/ESCB24,id:01i93fcd3ono7zx,ESCB24,id:01i93fcd23219t1
/Chromebooks/ES/ESCB24/ESCB24_OLD,id:03ph8a2z2kco76m,ESCB24_OLD,id:01i93fcd3ono7zx
/Chromebooks/ES/ESCB25,id:01i93fcd3b8ic0w,ESCB25,id:01i93fcd23219t1
/Chromebooks/ES/ESCB25/ESCB25_OLD,id:03ph8a2z150mqy7,ESCB25_OLD,id:01i93fcd3b8ic0w
/Chromebooks/ES/ESCB26,id:01i93fcd23syi7q,ESCB26,id:01i93fcd23219t1
/Chromebooks/ES/ESCB26/ESCB26_OLD,id:03ph8a2z395wzv1,ESCB26_OLD,id:01i93fcd23syi7q
/Chromebooks/ES/ESCB27,id:01i93fcd1qdsm8p,ESCB27,id:01i93fcd23219t1
/Chromebooks/ES/ESCB27/ESCB27_OLD,id:03ph8a2z0h26bdv,ESCB27_OLD,id:01i93fcd1qdsm8p
/Chromebooks/ES/ESCB29,id:01i93fcd39a0mvi,ESCB29,id:01i93fcd23219t1
/Chromebooks/ES/ESCB29/ESCB12_OLD,id:03ph8a2z2fzidhe,ESCB12_OLD,id:01i93fcd39a0mvi
/Chromebooks/ES/ESCB3,id:01i93fcd10r1b1c,ESCB3,id:01i93fcd23219t1
/Chromebooks/ES/ESCB3/ESCB3_OLD,id:03ph8a2z0ltkdj0,ESCB3_OLD,id:01i93fcd10r1b1c
/Chromebooks/ES/ESCB38,id:03ph8a2z284nevm,ESCB38,id:01i93fcd23219t1
/Chromebooks/ES/ESCB4,id:01i93fcd3kqotp5,ESCB4,id:01i93fcd23219t1
/Chromebooks/ES/ESCB4/ESCB4_OLD,id:03ph8a2z3qqz6ux,ESCB4_OLD,id:01i93fcd3kqotp5
/Chromebooks/ES/ESCB5,id:01i93fcd1zvz3wy,ESCB5,id:01i93fcd23219t1
/Chromebooks/ES/ESCB5/ESCB5_OLD,id:03ph8a2z3logugs,ESCB5_OLD,id:01i93fcd1zvz3wy
/Chromebooks/ES/ESCB6,id:01i93fcd4jvmmkr,ESCB6,id:01i93fcd23219t1
/Chromebooks/ES/ESCB6/ESCB6_OLD,id:03ph8a2z3m90um6,ESCB6_OLD,id:01i93fcd4jvmmkr
/Chromebooks/ES/ESCB7,id:01i93fcd2z0wwsk,ESCB7,id:01i93fcd23219t1
/Chromebooks/ES/ESCB7/ESCB7_OLD,id:03ph8a2z22s71mh,ESCB7_OLD,id:01i93fcd2z0wwsk
